234360,48000,210,3921,
273420,270480,540,557,
266220,25920,184,4001,
-1,-1,-1,-1,
379440,98400,561,3681,
-1,-1,-1,-1,
776880,6720,1381,6321,
-1,-1,-1,-1,
146400,128000,435,2481,
-1,-1,-1,-1,
80960,63600,393,2961,
-1,-1,-1,-1,
217600,15360,1041,5681,
-1,-1,-1,-1,
377136,73440,1281,2321,
-1,-1,-1,-1,
1262240,7440,387,9841,
-1,-1,-1,-1,
512416,126480,343,4081,
-1,-1,-1,-1,
349440,32640,809,5681,
-1,-1,-1,-1,
236160,222000,1561,3921,
-1,-1,-1,-1,
214880,4080,1421,6001,
-1,-1,-1,-1,
579360,36000,1561,5761,
-1,-1,-1,-1,
531360,3600,1471,8761,
-1,-1,-1,-1,
469224,15600,705,7121,
-1,-1,-1,-1,
1287552,73872,-599,5041,
-1,-1,-1,-1,
264960,262080,3181,4573,
-1,-1,-1,-1,
