234360,48000,210,3921,
273420,270480,540,557,
266220,25920,881,4001,
-1,-1,-1,-1,
379440,98400,561,3681,
-1,-1,-1,-1,
776880,6720,1381,6321,
-1,-1,-1,-1,
146400,146400,2481,2481,
-1,-1,-1,-1,
63600,63600,2961,2961,
-1,-1,-1,-1,
15360,15360,5681,5681,
-1,-1,-1,-1,
377136,236544,1281,2321,
-1,-1,-1,-1,
7440,7440,9841,9841,
-1,-1,-1,-1,
126480,126480,4081,4081,
-1,-1,-1,-1,
32640,32640,5681,5681,
-1,-1,-1,-1,
222000,222000,3921,3921,
-1,-1,-1,-1,
4080,4080,6001,6001,
-1,-1,-1,-1,
36000,36000,5761,5761,
-1,-1,-1,-1,
3600,3600,8761,8761,
-1,-1,-1,-1,
469224,15600,3236,7121,
-1,-1,-1,-1,
1287552,73872,-599,5041,
-1,-1,-1,-1,
262080,262080,4573,4573,
-1,-1,-1,-1,
